numpt	contig	overlap_reads	non-overlap_reads
59_cp_6	59	14	11
59_cp_14	59	128	26
59_cp_12	59	67	37
59_cp_5	59	39	30
59_cp_8	59	28	107
59_cp_7	59	3	0
59_cp_2	59	0	704
59_cp_10	59	67	18
59_cp_3	59	94	48
60_cp_22	60	3	4
60_cp_25	60	4	11
60_cp_24	60	25	14
60_mt_4	60	90	11
60_cp_15	60	25	104
60_cp_21	60	34	605
60_cp_5	60	89	97
60_cp_26	60	47	13
60_cp_17	60	40	30
60_cp_35	60	55	10
60_cp_13	60	58	112
60_mt_9	60	44	6
60_mt_11	60	78	26
60_cp_19	60	79	308
60_cp_7	60	50	944
60_cp_27	60	9	4
60_mt_18	60	1	0
60_cp_3	60	68	193
60_mt_19	60	0	5583
61_mt_2	61	82	52
61_mt_3	61	11	3256
61_cp_4	61	41	354
62_cp_1	62	26	62
62_cp_9	62	15	27
62_mt_3	62	65	58
62_mt_5	62	49	54
62_mt_6	62	26	47
62_cp_3	62	66	73
62_cp_14	62	59	18
62_cp_11	62	39	57
62_cp_12	62	23	22
62_cp_4	62	99	84
62_mt_12	62	22	20
62_cp_8	62	72	10
63_cp_2	63	85	15
63_cp_1	63	35	147
63_cp_5	63	88	11
64_mt_1	64	59	57
64_cp_5	64	50	24
64_cp_3	64	44	18
64_mt_4	64	88	30
64_cp_4	64	37	27
64_mt_6	64	50	77
64_mt_7	64	55	121
65_mt_6	65	65	22093
65_mt_8	65	69	161
65_mt_9	65	53	4901
65_cp_13	65	59	28
65_mt_11	65	92	259
65_mt_13	65	79	2521
65_mt_14	65	7	1190
65_mt_15	65	29	14630
65_cp_12	65	120	73
65_cp_3	65	97	1641
65_cp_9	65	51	267634
65_cp_10	65	54	509
65_cp_11	65	0	11881
66_mt_1	66	0	0
66_mt_3	66	44	20
66_cp_3	66	58	63
66_cp_12	66	28	92
66_cp_20	66	94	12
66_cp_7	66	87	56
66_cp_5	66	0	28380
66_cp_9	66	87	67
66_cp_1	66	36	1047
66_mt_8	66	71	695
66_cp_18	66	80	14
66_cp_11	66	86	39
66_cp_15	66	84	91
66_cp_10	66	91	63
66_mt_12	66	0	0
66_cp_13	66	54	19
67_cp_1	67	92	132
67_cp_5	67	63	59
67_cp_6	67	97	30
67_cp_3	67	37	13
67_cp_7	67	42	28
68_mt_2	68	19	4
68_cp_7	68	37	6
68_cp_4	68	35	9
68_mt_5	68	12	5
68_cp_1	68	25	78
68_mt_7	68	55	9
68_mt_8	68	55	24
68_cp_6	68	5	21
68_cp_3	68	44	307
68_mt_10	68	0	1530
68_cp_8	68	56	0
69_cp_4	69	124	1581
69_mt_1	69	16	2394
69_cp_28	69	55	10
69_cp_6	69	55	1565
69_cp_8	69	57	14999
69_cp_9	69	59	126
69_cp_11	69	69	100
69_cp_23	69	90	70
69_cp_22	69	84	85
69_cp_29	69	89	77
69_cp_15	69	64	65
69_cp_31	69	69	77
69_cp_7	69	36	12365
69_cp_13	69	61	43
69_cp_2	69	48	189
69_cp_18	69	51	2
69_cp_10	69	58	98
69_cp_14	69	103	55
69_cp_21	69	42	15
69_mt_5	69	30	14
70_cp_11	70	75	22
70_cp_8	70	49	62
70_cp_16	70	42	4
70_cp_2	70	83	111
70_cp_12	70	2	1
70_cp_9	70	71	20
70_cp_1	70	58	1311
70_mt_5	70	83	54
70_cp_5	70	39	10
70_cp_10	70	47	43
71_cp_3	71	9	48640
71_cp_11	71	72	376
71_cp_13	71	6	1
71_cp_14	71	8	673
71_cp_4	71	98	137
71_cp_5	71	16	5
71_cp_1	71	28	36659
72_cp_4	72	131	93
72_cp_8	72	10	18
72_cp_6	72	24	45
72_cp_9	72	110	36862
72_cp_13	72	45	15
72_mt_2	72	15	91
72_cp_15	72	41	1
72_mt_5	72	44	2
72_cp_11	72	18	18
72_cp_10	72	11	22
72_cp_12	72	66	25
73_cp_10	73	56	33
73_cp_9	73	91	51
73_cp_11	73	49	6
73_cp_5	73	34	241
73_cp_12	73	93	16
73_cp_7	73	54	218
73_mt_4	73	34	55
73_cp_4	73	61	509
73_cp_8	73	45	222
73_mt_7	73	53	6540
73_mt_9	73	32	1989
74_cp_9	74	60	10
74_cp_5	74	45	30
74_cp_8	74	148	38
74_cp_6	74	60	58
74_cp_7	74	29	23
74_cp_4	74	34	248
74_mt_8	74	79	73
74_cp_2	74	45	205
75_cp_2	75	98	49
75_cp_25	75	9	110
75_cp_20	75	73	40
75_cp_28	75	101	16
75_cp_4	75	7	125
75_mt_2	75	6	1435
75_mt_10	75	55	40166
75_cp_38	75	51	13
75_cp_16	75	71	80
75_cp_36	75	12	2
75_cp_32	75	64	6
75_mt_15	75	10	4899
75_cp_5	75	34	64
75_cp_11	75	0	19367
75_cp_17	75	58	71
75_cp_34	75	71	20
75_cp_6	75	51	101
75_cp_30	75	0	0
75_mt_22	75	67	15
75_cp_33	75	52	64
75_cp_29	75	74	16
75_cp_18	75	15	0
75_cp_8	75	56	30
75_cp_10	75	39	39
75_cp_13	75	70	93
75_cp_1	75	68	46
75_cp_35	75	104	44
75_cp_22	75	10	0
75_mt_36	75	0	1481
76_mt_2	76	87	11
76_mt_3	76	15	453
76_mt_8	76	91	13
77_cp_19	77	36	54
77_cp_25	77	57	9
77_mt_1	77	0	14665
77_mt_8	77	20	4532
77_cp_27	77	57	1274
77_cp_26	77	17	5
77_cp_24	77	45	31
77_cp_5	77	44	1011
77_cp_8	77	60	499
77_cp_17	77	16	14476
77_cp_13	77	64	115867
77_cp_16	77	35	505630
78_cp_4	78	97	69
78_cp_1	78	98	114
78_cp_5	78	11	52
78_cp_2	78	104	127
78_cp_10	78	109	27
78_mt_3	78	32	2733
78_cp_7	78	102	118
79_cp_8	79	11	381
79_cp_2	79	48	22
79_cp_3	79	62	29
79_cp_1	79	91	66
79_cp_9	79	41	40
79_cp_14	79	46	112
79_cp_10	79	0	3671
79_cp_6	79	0	4338
79_cp_15	79	73	26
79_mt_11	79	0	1
79_mt_13	79	9	0
80_cp_12	80	41	11
80_cp_6	80	36	157
80_cp_9	80	40	25
80_cp_5	80	34	12
80_cp_1	80	22	14
80_cp_7	80	47	33
80_cp_8	80	47	14
80_mt_8	80	23	3435
80_mt_12	80	0	807
80_mt_13	80	2	4422
81_cp_11	81	91	17
81_cp_4	81	54	30
81_cp_6	81	36	35
81_cp_9	81	58	3
81_cp_5	81	38	20
81_mt_3	81	37	14
81_mt_5	81	57	444
81_cp_1	81	26	1695
81_mt_6	81	11	4345
81_cp_7	81	72	26
82_mt_1	82	0	4712
82_mt_3	82	71	1100
82_mt_7	82	87	4927
82_cp_6	82	120	40
82_cp_1	82	74	149
82_mt_11	82	13	1
82_cp_10	82	0	2
82_mt_14	82	0	7411
82_cp_4	82	74	63
82_cp_13	82	36	81
82_cp_2	82	16	32
82_cp_7	82	87	27
82_mt_16	82	0	10669
83_mt_1	83	78	147
83_cp_5	83	0	28
83_cp_8	83	80	27
83_cp_4	83	63	34
83_cp_7	83	14	15
83_mt_8	83	54	4569
83_cp_1	83	36	32
84_cp_11	84	90	27
84_mt_1	84	0	7644
84_mt_3	84	47	9
84_mt_12	84	39	7772
84_cp_4	84	69	106
84_cp_5	84	59	34
84_cp_14	84	7	13
84_cp_2	84	65	33
84_cp_7	84	44	51
84_cp_9	84	16	145
84_cp_10	84	12	50
84_mt_14	84	60	1945
85_mt_1	85	93	8930
85_mt_3	85	15	2788
85_cp_10	85	65	132
85_cp_12	85	65	6
85_cp_1	85	72	1135
85_cp_5	85	82	107
85_mt_7	85	118	350
85_mt_8	85	0	4091
85_cp_14	85	94	299
85_cp_4	85	97	78
86_cp_4	86	36	13
86_cp_3	86	38	15
86_cp_1	86	0	91
86_mt_2	86	30	7
86_mt_7	86	0	93
87_mt_1	87	97	51
87_cp_11	87	79	42
87_cp_16	87	28	224
87_mt_4	87	36	240
87_cp_14	87	104	1
87_cp_12	87	84	31
87_cp_4	87	98	303
87_mt_8	87	0	329
87_cp_2	87	70	1894
87_cp_13	87	74	27
87_cp_7	87	101	44
88_mt_1	88	128	30
88_cp_6	88	83	38
88_cp_12	88	102	10
88_mt_2	88	18	289
88_mt_3	88	0	55
88_cp_13	88	71	158
88_mt_5	88	0	48727
88_cp_18	88	85	10
88_cp_25	88	107	16
88_cp_5	88	46	82
88_cp_9	88	25	18
88_cp_16	88	84	15
88_cp_11	88	183	27
88_mt_10	88	40	3350
88_mt_14	88	68	523
88_mt_16	88	67	49
88_mt_20	88	115	19
88_cp_3	88	51	95
88_cp_14	88	55	50
89_cp_4	89	38	115
89_cp_3	89	56	63
90_cp_1	90	63	74
90_cp_3	90	68	18
90_cp_5	90	76	7
90_cp_6	90	26	94
90_mt_2	90	145	146
91_cp_16	91	103	10
91_cp_8	91	95	72
91_mt_1	91	0	19774
91_cp_5	91	2	1690
91_mt_2	91	68	22
91_cp_12	91	20	120
91_cp_10	91	0	17992
91_mt_3	91	33	59
91_cp_11	91	20	1
91_mt_5	91	101	5044
91_cp_13	91	88	54
91_cp_9	91	57	173
91_cp_3	91	39	28885
92_cp_10	92	3	2249
92_mt_2	92	6	20
92_cp_25	92	23	11
92_cp_18	92	56	39
92_cp_23	92	27	42
92_cp_22	92	75	31
92_cp_12	92	40	54
92_cp_15	92	72	20
92_cp_9	92	62	91
92_cp_1	92	0	91842
92_mt_11	92	50	28
92_mt_13	92	55	346
92_cp_2	92	37	776
92_cp_32	92	29	25
92_cp_36	92	31	63
92_cp_27	92	19	13
92_mt_15	92	77	438
92_mt_17	92	15	766
92_cp_26	92	85	19
92_cp_20	92	28	53
92_cp_7	92	78	377
92_cp_6	92	55	618
92_mt_19	92	52	6
92_cp_33	92	75	18
93_cp_3	93	80	14
93_cp_1	93	107	740
93_cp_2	93	0	103071
94_cp_8	94	40	17
94_mt_1	94	0	0
94_cp_5	94	26	84
94_mt_3	94	0	33414
94_mt_4	94	41	2625
94_cp_1	94	0	21038
94_cp_2	94	0	164851
94_cp_3	94	0	410
95_cp_2	95	68	44
95_mt_2	95	0	510
96_mt_2	96	107	35
97_cp_1	97	0	431355
97_cp_2	97	110	2241
97_cp_5	97	56	334
97_cp_12	97	56	21
97_cp_4	97	7	158
97_cp_3	97	0	1640
97_cp_6	97	91	372
97_cp_13	97	88	30
97_cp_14	97	30	14
97_cp_15	97	80	6
97_cp_9	97	2	39053
97_cp_8	97	1	8
98_cp_7	98	53	28
98_cp_9	98	60	25
98_cp_8	98	24	118
98_cp_12	98	47	17
98_mt_1	98	32	33
98_cp_2	98	42	1585
98_cp_10	98	31	11
98_cp_1	98	52	138
98_cp_5	98	30	13131
98_cp_23	98	69	17
98_mt_4	98	85	87
98_cp_14	98	18	2
98_cp_18	98	14	8
99_mt_1	99	102	75
99_cp_1	99	29	77
99_cp_2	99	78	25
99_cp_4	99	74	13
99_mt_4	99	20	6915
99_cp_6	99	112	8
100_cp_1	100	0	484549
100_cp_4	100	84	110
100_mt_4	100	55	6970
100_cp_3	100	50	73
100_cp_5	100	31	13
100_cp_10	100	0	4926
100_mt_5	100	57	4023
100_cp_12	100	54	20
100_cp_16	100	62	282
101_mt_1	101	0	22432
101_mt_2	101	43	455
101_mt_5	101	82	13
101_mt_6	101	46	8
101_mt_7	101	80	4
101_mt_9	101	5	178
101_cp_2	101	70	91
102_mt_1	102	356	7549
102_cp_7	102	78	10
102_cp_1	102	86	122
102_cp_3	102	87	50
102_cp_5	102	103	6
102_cp_4	102	69	22
103_cp_5	103	112	35
103_cp_17	103	37	68
103_cp_11	103	69	88
103_mt_3	103	32	4859
103_cp_12	103	84	30
103_cp_10	103	52	36
103_cp_20	103	46	14
103_cp_1	103	6	1
104_cp_7	104	53	97
104_cp_4	104	38	16
104_cp_14	104	93	6
104_cp_3	104	2	4180
104_mt_3	104	64	64
104_cp_9	104	14	2
104_mt_4	104	50	73
104_cp_6	104	106	39
105_cp_3	105	2	12
105_cp_2	105	1	1
105_cp_10	105	85	12
105_cp_9	105	85	75
105_cp_15	105	92	9
105_mt_3	105	120	16655
105_mt_6	105	64	25
105_cp_5	105	88	22
105_cp_4	105	22	15
106_mt_1	106	108	36
106_cp_1	106	63	82
106_mt_2	106	82	41
106_cp_2	106	37	45
106_cp_9	106	59	14
106_cp_4	106	78	27
106_cp_8	106	53	18
106_cp_5	106	99	122
106_cp_6	106	41	96
107_cp_20	107	0	0
107_cp_1	107	0	4633601
107_mt_12	107	81	85
107_cp_4	107	0	549748
107_cp_15	107	0	3
107_cp_14	107	47	49
108_cp_2	108	59	15
109_cp_12	109	30	12
109_mt_3	109	35	65
109_mt_5	109	61	10
109_mt_6	109	11	602
109_cp_7	109	74	37
109_mt_7	109	38	8
109_cp_9	109	37	21
109_mt_8	109	1	1687
109_cp_1	109	40	253
109_cp_8	109	39	127
110_mt_2	110	0	0
110_cp_3	110	76	245
110_mt_3	110	37	324
110_mt_4	110	111	7148
110_cp_8	110	95	20
110_cp_2	110	86	178
110_cp_4	110	0	7
111_mt_1	111	41	41
111_cp_11	111	32	7
111_cp_6	111	89	40
111_cp_9	111	83	6
111_cp_8	111	40	13
111_cp_1	111	103	85
111_cp_4	111	77	2573
111_mt_11	111	0	21850
111_mt_14	111	4	4929
111_mt_15	111	0	4371
111_mt_16	111	109	97
111_cp_3	111	92	96
112_cp_12	112	94	157
112_mt_1	112	9	167
112_cp_9	112	24	46
112_cp_8	112	108	33
112_cp_7	112	100	102
112_cp_4	112	91	95
112_cp_1	112	72	191
113_mt_1	113	40	20
113_cp_4	113	83	56
113_cp_1	113	78	183
114_cp_4	114	11	10
114_cp_6	114	45	31
115_cp_4	115	81	22
115_cp_2	115	122	169
115_cp_7	115	51	18
115_cp_6	115	67	7
116_cp_2	116	0	0
117_cp_14	117	90	48
117_cp_4	117	74	136
117_cp_6	117	78	202
117_cp_10	117	33	141
117_cp_19	117	93	34
117_cp_21	117	9	66
117_cp_8	117	67	117
117_mt_2	117	0	59967
117_mt_5	117	70	33
117_cp_3	117	29	114
117_cp_22	117	6	0
118_cp_1	118	53	84
118_cp_7	118	0	1
118_mt_3	118	101	68
118_cp_6	118	77	20
118_cp_5	118	102	141
118_cp_2	118	23	66
119_cp_2	119	114	1762
119_mt_2	119	101	174
120_mt_2	120	85	140
120_cp_2	120	126	149
121_cp_8	121	103	93
121_cp_5	121	25	29
121_mt_6	121	64	128
121_cp_1	121	60	80
122_cp_8	122	53	68
122_cp_9	122	15	32
122_mt_7	122	0	1790
122_mt_10	122	0	21306
122_mt_17	122	21	24
122_mt_24	122	1	14179
122_mt_25	122	31	21972
122_mt_30	122	5	48390
122_cp_4	122	41	241
122_cp_2	122	88	171
122_cp_6	122	64	89
122_cp_1	122	44	208
122_mt_34	122	0	771
122_cp_5	122	29	16704
122_cp_7	122	39	502
123_cp_4	123	2	3
123_mt_1	123	124	23
123_cp_1	123	78	33
123_cp_2	123	61	11
124_cp_16	124	49	1884
124_mt_1	124	88	160
124_mt_5	124	110	107
124_cp_5	124	48	108
124_cp_17	124	67	57
124_cp_7	124	51	48
124_cp_15	124	59	19
124_cp_3	124	85	208
124_mt_10	124	68	15
124_cp_26	124	89	13
124_mt_12	124	0	6065
124_cp_9	124	85	48084
124_cp_14	124	52	86
124_cp_34	124	103	11
124_cp_19	124	46	24
124_cp_20	124	43	19
124_cp_18	124	50	35
125_cp_9	125	23	28
125_cp_3	125	73	89
125_cp_5	125	114	59
125_cp_4	125	52	80
125_cp_10	125	57	31
125_cp_16	125	28	11
125_cp_15	125	27	6
125_cp_1	125	41	6533
125_cp_13	125	18	57
125_cp_12	125	42	4
125_cp_14	125	21	14
125_cp_11	125	29	18
125_cp_7	125	86	62
126_cp_4	126	29	56
126_cp_9	126	0	0
126_mt_2	126	94	118
126_cp_2	126	97	29237
126_cp_6	126	93	72
126_cp_3	126	92	18
126_cp_11	126	45	11
126_cp_1	126	33	77
127_cp_47	127	0	0
127_cp_12	127	117	1582
127_cp_53	127	100	18
127_cp_18	127	34	302
127_cp_14	127	23	573
127_cp_33	127	0	1469
127_cp_32	127	1	8119
127_cp_40	127	13	6
127_cp_46	127	13	1
127_cp_9	127	0	165526
127_cp_30	127	71	291
127_cp_15	127	26	82623
127_cp_3	127	106	57288
127_mt_14	127	1	0
127_cp_42	127	68	48
127_cp_2	127	37	550233
127_cp_6	127	22	3125
127_cp_52	127	34	8
127_mt_16	127	97	30
127_cp_28	127	43	187
127_cp_44	127	31	32
127_cp_49	127	41	17
127_mt_18	127	26	4
127_cp_31	127	79	51
127_cp_25	127	28	178
127_cp_35	127	23	53
127_cp_48	127	45	21
127_cp_51	127	34	9
127_cp_55	127	23	3
127_cp_54	127	35	18
127_cp_13	127	60	455
127_mt_21	127	38	6
127_cp_50	127	40	39
127_cp_34	127	80	200
127_cp_56	127	133	25
128_cp_6	128	86	40
128_cp_7	128	11	84
128_mt_4	128	0	1753
128_cp_2	128	38	231
128_cp_4	128	36	195
128_cp_9	128	34	24
128_cp_11	128	50	3
129_cp_5	129	76	28
129_mt_2	129	85	2265
129_cp_9	129	76	26
129_cp_6	129	45	26
129_mt_7	129	54	171
129_mt_10	129	11	14
129_cp_1	129	95	118
129_cp_4	129	94	69
129_mt_14	129	13	5466
129_cp_7	129	85	20
129_cp_2	129	0	15802
129_cp_14	129	0	0
129_mt_16	129	32	99
129_cp_8	129	17	6
130_cp_1	130	0	1
130_mt_1	130	57	437
130_mt_3	130	0	17935
130_mt_4	130	0	7866
131_cp_1	131	51	307
131_cp_11	131	34	49
131_mt_1	131	63	7
131_mt_3	131	0	6007
131_cp_13	131	92	19
131_cp_14	131	36	3
131_cp_7	131	24	63
131_cp_3	131	54	194
132_mt_2	132	0	2023
133_mt_1	133	46	9
133_mt_7	133	0	176
133_cp_12	133	15	12
133_cp_11	133	27	851
133_cp_7	133	92	200
133_cp_9	133	46	753
133_cp_5	133	72	46
133_cp_3	133	47	190
133_cp_1	133	62	245
134_cp_10	134	64	340380
134_cp_7	134	53	2969
134_mt_4	134	78	92
135_mt_1	135	12	15739
135_cp_1	135	102	235
136_cp_4	136	44	23
136_cp_2	136	79	40
136_cp_3	136	34	28
138_cp_1	138	56	60
138_mt_5	138	44	248
139_cp_6	139	109	21
139_cp_2	139	51	40
139_cp_4	139	23	20
139_cp_8	139	60	12
139_cp_7	139	73	16
139_mt_4	139	90	15
140_mt_1	140	93	28
140_mt_2	140	33	9
140_cp_1	140	40	11
141_cp_17	141	80	13
141_mt_4	141	10	3494
141_mt_6	141	72	27
141_mt_7	141	0	11355
141_cp_31	141	70	9
141_cp_2	141	0	141893
141_cp_10	141	29	161
141_cp_25	141	96	13
141_cp_5	141	48	20
141_cp_3	141	44	341
141_cp_1	141	35	621
141_mt_9	141	84	203
141_cp_4	141	77	47
141_cp_13	141	105	13
141_cp_7	141	116	78
143_mt_1	143	89	75
143_cp_5	143	6	3427
143_cp_15	143	59	30
143_cp_9	143	77	22
143_mt_4	143	0	0
143_mt_5	143	3	0
143_cp_3	143	112	196
143_mt_14	143	72	234
143_cp_7	143	81	84
143_cp_1	143	4	356
143_cp_13	143	36	14
144_cp_7	144	111	69
144_cp_2	144	108	501
144_cp_4	144	83	601
144_cp_5	144	0	29527
144_mt_2	144	39	6634
144_cp_9	144	84	36
144_cp_10	144	68	18
144_cp_11	144	1	0
146_cp_2	146	0	4502
146_cp_3	146	64	32
147_cp_13	147	0	0
147_cp_1	147	68	156
147_cp_5	147	0	0
147_cp_4	147	92	62
147_mt_5	147	19	26
147_cp_14	147	81	30
147_cp_8	147	24	20
147_cp_7	147	107	56
147_cp_3	147	83	120
147_mt_9	147	70	39
147_mt_10	147	9	894
147_mt_11	147	77	12
148_cp_5	148	56	224
148_cp_1	148	94	41
148_cp_7	148	2	1
148_cp_3	148	112	77
148_mt_3	148	75	102
148_cp_6	148	0	0
149_mt_1	149	116	109
150_cp_4	150	22	13
150_mt_1	150	41	37
150_cp_13	150	52	16
150_mt_3	150	87	37
150_cp_1	150	27	53
150_cp_15	150	26	20
150_cp_8	150	31	12
150_cp_2	150	46	21740
150_mt_5	150	21	128
150_cp_3	150	76	32
150_cp_7	150	101	33
150_cp_6	150	39	2
152_cp_3	152	73	89
152_cp_2	152	121	21207
152_cp_4	152	14	98
152_cp_8	152	88	11
152_cp_6	152	28	906
153_cp_4	153	0	0
153_cp_2	153	83	37
154_cp_2	154	83	1639
154_cp_6	154	115	10
155_cp_3	155	38	11
155_cp_6	155	83	42
155_mt_2	155	6	4625
155_cp_5	155	83	82
155_cp_7	155	8	4
155_cp_8	155	0	1
155_mt_3	155	0	0
157_cp_1	157	56	9
157_cp_2	157	79	58
157_mt_2	157	0	6465
158_cp_4	158	67	30
158_cp_1	158	0	0
159_mt_1	159	0	2
159_cp_14	159	19	19
159_cp_18	159	19	33
159_cp_3	159	71	3095
159_cp_4	159	108	124885
159_mt_11	159	60	142
159_cp_15	159	92	50
160_cp_6	160	100	12
160_mt_2	160	21	2386
161_cp_5	161	52	25
161_cp_2	161	0	11
161_cp_1	161	47	13
161_cp_4	161	48	16
161_mt_1	161	48	2824
161_mt_3	161	0	29337
162_mt_2	162	33	18
162_mt_3	162	109	1945
162_cp_1	162	0	1
162_mt_4	162	64	4
162_mt_5	162	22	956
162_mt_7	162	132	56
163_cp_5	163	110	40
163_cp_7	163	24	37
163_cp_2	163	55	74
163_cp_4	163	82	49
164_cp_15	164	95	11
164_cp_6	164	69	105
164_mt_6	164	154	42
164_cp_7	164	99	43
164_cp_8	164	30	23
164_cp_12	164	50	25
164_cp_10	164	0	3858
164_cp_2	164	38	153
164_cp_3	164	68	157
164_cp_1	164	56	417
164_cp_9	164	64	80
165_cp_3	165	0	3424
165_cp_2	165	111	32
165_mt_3	165	110	101
166_cp_3	166	9	20
166_cp_2	166	17	6
166_cp_1	166	5	67
166_mt_2	166	52	7
167_mt_1	167	99	7864
167_cp_1	167	0	29512
167_mt_3	167	86	15
167_cp_5	167	31	35
167_cp_3	167	55	58
168_mt_1	168	42	11
168_cp_1	168	67	85439
168_cp_3	168	89	78
168_cp_5	168	63	187
168_cp_7	168	89	9
168_mt_4	168	92	104
169_mt_1	169	123	68
169_mt_4	169	67	16622
169_mt_11	169	0	50
170_cp_2	170	6	0
171_cp_4	171	39	75
171_mt_1	171	31	4230
171_cp_3	171	25	30
171_cp_2	171	52	36
172_cp_2	172	97	1945
172_cp_5	172	108	46
172_mt_5	172	146	77
172_mt_6	172	124	18
172_cp_7	172	24	13
172_mt_7	172	45	1128
172_cp_6	172	81	146
172_cp_3	172	46	1200
173_cp_8	173	99	30
173_cp_5	173	44	157
173_mt_5	173	0	2453
173_cp_1	173	0	0
173_cp_4	173	0	0
173_cp_6	173	0	0
173_cp_2	173	0	47
174_cp_1	174	28	450
174_mt_3	174	0	524
174_cp_6	174	38	20
174_mt_6	174	52	39
174_cp_2	174	34	28
174_cp_3	174	34	119
174_cp_5	174	26	13
175_mt_3	175	93	248
175_cp_2	175	87	348
176_mt_1	176	12	2
176_mt_2	176	49	61
177_cp_7	177	36	14
177_cp_2	177	74	206
177_cp_3	177	13	85
177_mt_2	177	0	221
177_cp_5	177	65	32
177_cp_4	177	71	42
178_cp_4	178	21	5
178_cp_5	178	11	51
178_cp_3	178	0	0
178_cp_7	178	14	4
178_cp_10	178	49	12
179_cp_2	179	93	191
179_cp_1	179	80	194
180_mt_1	180	48	547
180_cp_5	180	104	19
180_mt_2	180	108	11
180_cp_3	180	37	70
180_cp_2	180	93	43
180_cp_4	180	72	21
180_cp_1	180	71	422
181_mt_1	181	98	83
181_cp_1	181	112	29
181_cp_3	181	60	32
182_cp_2	182	40	182
183_cp_5	183	74	58
183_cp_2	183	64	2182
184_mt_3	184	8	233
184_mt_5	184	139	43
184_mt_7	184	65	22
184_cp_11	184	87	15
184_cp_7	184	39	13
184_mt_10	184	95	60
184_cp_2	184	23	321
184_cp_8	184	6	20
185_mt_1	185	65	40
185_mt_2	185	30	3741
185_mt_3	185	72	56
185_cp_6	185	59	17
185_cp_5	185	38	101
185_cp_1	185	0	20205
185_cp_2	185	74	245
185_cp_3	185	0	5817
186_cp_8	186	71	14
186_cp_7	186	32	14
186_cp_5	186	22	250
186_mt_1	186	86	6
186_cp_1	186	0	204
186_cp_4	186	0	1
186_mt_3	186	0	0
186_cp_3	186	51	124
187_cp_5	187	66	51
187_mt_3	187	116	5205
187_cp_11	187	85	16
187_mt_15	187	45	2684
187_mt_16	187	55	59
187_cp_20	187	51	14
187_mt_21	187	75	42
187_mt_22	187	47	25
187_mt_23	187	99	33
187_cp_21	187	44	139
187_cp_6	187	90	159
187_cp_3	187	60	321
187_cp_16	187	4	1
187_cp_12	187	10	10
188_cp_2	188	59	104
188_cp_4	188	24	99
188_mt_3	188	0	37598
189_mt_3	189	92	50
189_cp_8	189	89	26
189_cp_2	189	0	6
189_cp_3	189	0	1645
189_cp_5	189	1	639
189_cp_10	189	36	33
189_cp_13	189	0	0
189_mt_10	189	4	0
189_mt_11	189	3	28
189_cp_15	189	59	24
189_mt_12	189	67	5485
189_cp_11	189	10	28
190_cp_1	190	0	1
191_cp_3	191	3	0
191_cp_2	191	84	24
191_mt_1	191	86	18
191_mt_2	191	93	6
192_mt_1	192	77	26
192_cp_5	192	98	58
192_cp_3	192	55	7337
192_cp_1	192	92	10514
192_mt_5	192	0	1622
192_cp_2	192	0	12
193_mt_1	193	79	13
194_cp_3	194	74	1045
194_cp_5	194	88	22
194_cp_1	194	92	25824
194_cp_4	194	0	181725
195_mt_1	195	0	47095
195_cp_1	195	0	51
196_mt_1	196	0	0
196_cp_3	196	68	11
196_cp_2	196	79	66
197_cp_2	197	45	53
197_cp_7	197	97	529
197_mt_3	197	49	3853
197_mt_4	197	85	16
197_mt_5	197	102	55
197_mt_6	197	70	119
198_cp_1	198	74	57
198_cp_3	198	1	6
199_cp_2	199	23	2778
199_cp_6	199	59	21
199_cp_4	199	16	155
199_cp_8	199	13	15
199_cp_7	199	55	10
200_cp_3	200	97	25
200_mt_1	200	105	104
200_cp_1	200	0	1655
201_cp_2	201	76	147
201_cp_5	201	85	31
201_cp_1	201	100	116
201_mt_3	201	57	20
201_cp_4	201	49	14
202_cp_10	202	84	214
202_cp_8	202	51	87
202_cp_12	202	44	56
203_cp_2	203	82	58
203_cp_4	203	0	84
204_mt_1	204	0	52
204_cp_4	204	111	39
204_cp_5	204	16	50
205_mt_1	205	41	253
205_mt_2	205	67	67
206_cp_17	206	83	13
206_mt_2	206	0	656
206_cp_5	206	105	1147
206_cp_15	206	50	158
206_cp_2	206	84	1084
206_cp_6	206	89	142
206_mt_10	206	68	87
206_cp_13	206	36	24
207_cp_5	207	13	6
207_mt_1	207	56	31
207_cp_4	207	44	10
207_cp_3	207	64	81
207_cp_1	207	30	7721
208_cp_1	208	42	177840
208_cp_2	208	7	155
209_cp_1	209	0	35386
209_cp_5	209	78	26
209_cp_2	209	0	0
209_cp_7	209	0	4
210_mt_1	210	45	4
210_cp_1	210	85	385
211_cp_1	211	20	113
211_mt_4	211	0	2
212_mt_1	212	0	0
212_cp_2	212	79	39
212_cp_3	212	0	5
212_mt_3	212	0	0
212_cp_1	212	24	18
213_mt_1	213	1	4309
213_cp_1	213	110	244
213_cp_2	213	59	11
213_mt_3	213	24	2
214_cp_3	214	99	8042
214_cp_8	214	93	39
214_cp_2	214	120	2107
214_cp_6	214	63	37
215_mt_1	215	0	299
215_cp_5	215	28	86
215_mt_3	215	21	2
215_cp_3	215	35	20
215_cp_7	215	56	7
215_cp_4	215	3	2172
216_cp_1	216	78	163
216_cp_3	216	54	7
216_cp_5	216	51	33
218_cp_2	218	98	41
218_cp_15	218	75	25
218_cp_11	218	36	32
218_mt_5	218	0	0
218_mt_6	218	66	15
218_cp_1	218	47	77
218_cp_4	218	74	152
