numpt	contig	overlap_reads	non-overlap_reads
7_cp_54	7	84	24
7_cp_38	7	87	82
7_mt_19	7	67	101
7_mt_23	7	98	44
7_cp_77	7	96	35
7_cp_70	7	89	64
7_cp_28	7	49	16465
7_mt_26	7	88	11
7_cp_14	7	86	223
7_cp_47	7	69	66
7_cp_43	7	87	61
7_cp_10	7	61	718
7_cp_15	7	60	299
7_cp_21	7	73	250
7_mt_32	7	3	194
7_cp_66	7	20	35
7_cp_63	7	60	133
7_cp_32	7	75	99
7_cp_67	7	62	23
7_cp_53	7	67	40
7_cp_59	7	62	39
7_cp_85	7	83	8
7_mt_40	7	93	6
7_mt_42	7	0	18356
7_mt_43	7	61	967
7_cp_25	7	86	118
7_cp_3	7	35	151387
7_cp_90	7	84	12
7_mt_46	7	96	75
7_cp_5	7	48	13267
7_mt_47	7	83	201
7_cp_1	7	0	1519341
8_cp_24	8	65	25
8_mt_2	8	4	515
8_cp_5	8	77	188
8_cp_17	8	37	148
8_cp_19	8	60	2800
8_cp_4	8	91	4145
8_cp_15	8	54	37
8_cp_12	8	38	19
8_cp_11	8	25	81
8_cp_25	8	91	9
8_cp_14	8	85	27
8_cp_23	8	76	21
8_cp_8	8	84	460
8_mt_6	8	50	5704
8_mt_7	8	59	70
8_cp_13	8	10	1128
8_cp_10	8	105	86
8_cp_2	8	82	377
9_cp_11	9	92	66
9_mt_2	9	0	2939
9_mt_3	9	0	5247
9_cp_24	9	69	18
9_cp_3	9	94	166
9_mt_11	9	6	6698
9_cp_8	9	80	100
9_cp_6	9	101	130
9_cp_25	9	50	14
9_mt_14	9	0	15497
9_cp_20	9	72	34
9_cp_29	9	98	17
9_cp_23	9	58	26
9_cp_7	9	91	2006
9_cp_4	9	75	14538
9_cp_5	9	0	22988
9_mt_18	9	0	16649
9_cp_21	9	24	31
9_cp_17	9	31	9
10_mt_1	10	37	1448
10_mt_2	10	2	461
10_cp_22	10	117	67
10_mt_4	10	39	896
10_mt_6	10	4	4120
10_cp_23	10	68	67
10_cp_19	10	77	175
10_cp_50	10	47	167
10_cp_33	10	80	37
10_cp_16	10	23	95
10_mt_8	10	0	317
10_cp_18	10	102	156
10_cp_4	10	83	624
10_cp_3	10	89	771
10_mt_10	10	4	760
10_mt_11	10	28	24
10_cp_55	10	34	49
10_cp_34	10	45	16
10_cp_35	10	51	161
10_cp_32	10	97	10
10_mt_13	10	65	3520
10_cp_39	10	109	23
10_cp_45	10	6	0
10_cp_24	10	15	4
10_cp_40	10	43	25
10_mt_16	10	118	4927
10_mt_17	10	32	33
10_cp_7	10	52	7944
10_mt_23	10	0	201220
10_cp_43	10	17	29
10_cp_15	10	82	291
10_cp_25	10	48	22
10_cp_44	10	17	7
10_mt_50	10	70	30
